number,address,percentage,functonName1,times1,functonName2,times2,functonName3,times3
76,0x68e54af74b22acaccffa04ccaad13be16ed14eac,1.0,transfer,10000,,,,
77,0x912656188616e0184e3181f019022990a63280b1,1.0,transfer,10000,,,,
78,0x3506424f91fd33084466f402d5d97f05f8e3b4af,1.0,transfer,8933,transferFrom,562,approve,505
79,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,0.961,transfer,7679,mintBulk,1231,approve,700
80,0x39755357759ce0d7f32dc8dc45414cca409ae24e,0.9836,offer,4948,kill,3925,cancel,963
81,0xac08809df1048b82959d6251fbc9538920bed1fa,1.0,transfer,10000,,,,
82,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.9304,transfer,6181,exchangeAtomically,1788,approve,1335
83,0x03f7724180aa6b939894b5ca4314783b0b36b329,0.7115,swapExactETHForTokens,2893,swapExactTokensForTokens,2535,swapExactTokensForETH,1687
84,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,1.0,nan,9839,deployContracts,161,,
85,0xa74476443119a942de498590fe1f2454d7d4ac0d,1.0,transfer,7718,migrate,2277,nan,5
86,0x9554efa1669014c25070bc23c2df262825704228,1.0,split,9998,nan,2,,
87,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0.9961,transfer,8598,approve,832,approveAndCall,531
88,0x0000006daea1723962647b7e189d311d757fb793,1.0,nan,9960,drainETH,40,,
89,0xc00e94cb662c3520282e6f5717214004a7f26888,0.9809,transfer,8330,approve,1051,delegate,428
90,0xbc4162d53f945266684f4e5e48d545f206bc1ca5,1.0,transfer,10000,,,,
91,0x4fabb145d64652a948d72533023f6e7a623c7c53,1.0,transfer,8402,approve,1373,transferFrom,225
92,0xe66b31678d6c16e9ebf358268a790b763c133750,1.0,proxiedSwap,10000,,,,
93,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,1.0,transfer,7489,approve,2397,transferFrom,114
94,0x62b9f8741bf53a6986a5411c0557c30f6f11f3af,1.0,transfer,9998,approve,1,nan,1
95,0x653430560be843c4a3d143d0110e896c2ab8ac0d,1.0,transfer,9891,approve,108,nan,1
96,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.9954,transfer,8094,approve,1494,transferFrom,366
97,0xd7cc16500d0b0ac3d0ba156a584865a43b0b0050,1.0,transfer,10000,,,,
98,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0.9998,transfer,7484,approve,1843,transferFrom,671
99,0x61935cbdd02287b511119ddb11aeb42f1593b7ef,1.0,nan,9146,cancelOrdersUpTo,854,,
100,0xae9b8e05c22bae74d1e8db82c4af122b18050bd4,1.0,buy,8082,withdraw,1918,,
101,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0.9971,transfer,9409,approve,511,nan,51
102,0x798abda6cc246d0edba912092a2a3dbd3d11191b,1.0,setCompactData,9926,setBaseRate,74,,
103,0x9dffe202df7f82ba57a7f8d571628805eff7fed9,1.0,transfer,10000,,,,
104,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,0.9987,transfer,9734,nan,170,approve,83
105,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,1.0,flushForwarderTokens,9518,sendMultiSigToken,423,sendMultiSig,59
106,0xf6874c88757721a02f47592140905c4336dfbc61,1.0,nan,9974,flushERC20,26,,
107,0xcd111aa492a9c77a367c36e6d6af8e6f212e0c8e,1.0,register,10000,,,,
108,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,0.9999,transfer,9964,approve,34,nan,1
109,0x70526cc7a6d6320b44122ea9d2d07670accc85a1,0.0003,nan,1,nan,1,nan,1
110,0x1f0480a66883de97d2b054929252aae8f664c15c,0.9999,transfer,8116,nan,1879,approve,4
111,0x0d152b9ee87ebae179f64c067a966dd716c50742,1.0,transfer,9981,approve,15,nan,4
112,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0.9527,register,7534,claim,1140,claimAll,853
113,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192,1.0,transfer,10000,,,,
114,0xa52e014b3f5cc48287c2d483a3e026c32cc76e6d,0.999,__callback,5192,playerRollDice,4790,ownerSetCallbackGasPrice,8
115,0xf1ad4bfdf8829d55ec0ce7900ef9d122b2610673,0.0003,nan,1,nan,1,nan,1
116,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,1.0,transfer,8477,approve,1106,transferFrom,417
117,0x3845badade8e6dff049820680d1f14bd3903a5d0,0.9973,transfer,8554,approve,911,transferFrom,508
118,0xffa397285ce46fb78c588a9e993286aac68c37cd,1.0,createForwarder,10000,,,,
119,0x37a9679c41e99db270bda88de8ff50c0cd23f326,1.0,transfer,9998,issueCoins,2,,
120,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,0.9999,transfer,9641,nan,217,approve,141
121,0xd533a949740bb3306d119cc777fa900ba034cd52,1.0,transfer,6720,approve,2812,transferFrom,468
122,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.9924,multicall,8010,nan,1846,safeTransferFrom,68
123,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0.9905,transfer,8131,submitMiningSolution,1132,approve,642
124,0xfb80bfa19cae9e00f28b0f7e1023109deeb10483,1.0,setCompactData,9891,setBaseRate,109,,
125,0x495f947276749ce646f68ac8c248420045cb7b5e,0.9988,safeTransferFrom,5895,setApprovalForAll,2842,setURI,1251
126,0x4f01001cf69785d4c37f03fd87398849411ccbba,1.0,makeWallet,10000,,,,
127,0x3495ffcee09012ab7d827abf3e3b3ae428a38443,1.0,transfer,9993,approve,7,,
128,0x5e07b6f1b98a11f7e04e7ffa8707b63f1c177753,1.0,requestDailyActionReward,9995,nan,5,,
129,0xcda72070e455bb31c7690a170224ce43623d0b6f,0.686,setBuyPrice,3073,createReserveAuction,2784,placeBidV2,1003
130,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0.9998,transfer,8777,approve,827,transferFrom,394
131,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,0.7549,withdrawToken,2862,trade,2850,cancelOrder,1837
132,0xabbb6bebfa05aa13e908eaa492bd7a8343760477,1.0,split,10000,,,,
133,0x49307d775728daf1d4736ab762de0cefd035e323,0.9998,nan,9996,dnaModulus,1,withdrawETH,1
134,0x762ed657b76372f8c08c6f7e0aa4170658c4ca35,1.0,delegate,9976,nan,24,,
135,0x111111125434b319222cdbf8c261674adb56f3ae,1.0,nan,9999,rescueFunds,1,,
136,0x999999c60566e0a78df17f71886333e1dace0bae,0.9993,placeBet,5005,settleBet,4981,refundBet,7
137,0x818e6fecd516ecc3849daf6845e3ec868087b755,0.9078,trade,6597,tradeWithHint,1293,swapTokenToEther,1188
138,0x693c188e40f760ecf00d2946ef45260b84fbc43e,0.9995,nan,9765,cancel,223,withdrawTokens,7
139,0x4d246be90c2f36730bb853ad41d0a189061192d3,1.0,nan,9999,withdrawEth,1,,
140,0x41e5560054824ea6b0732e656e3ad64e20e94e45,1.0,transfer,9524,approve,276,transferFrom,200
141,0x2a549b4af9ec39b03142da6dc32221fc390b5533,1.0,flushForwarderTokens,9114,sendMultiSigToken,751,sendMultiSig,135
142,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.9997,transfer,5849,approve,3847,transferFrom,301
143,0x52a03d5d2bb8a30585dfc59904c799b27a03a56e,1.0,delegate,9945,nan,54,transfer,1
144,0xbc2faad1ec407571249b0e874a9abd840111389b,1.0,transfer,10000,,,,
145,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,1.0,transfer,9956,approve,24,nan,20
146,0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,0.991,transferFrom,6491,createSaleAuction,3115,setApprovalForAll,304
147,0x4e15361fd6b4bb609fa63c81a2be19d873717870,1.0,transfer,7384,approve,1744,transferFrom,872
148,0x58959e0c71080434f237bd42d07cd84b74cef438,0.9996,transfer,9532,approve,440,approveAndCall,24
149,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,1.0,transfer,6162,approve,2478,transferFrom,1360
150,0xe62e6e6c3b808faad3a54b226379466544d76ea4,0.9998,transfer,9397,burnTransfer,594,burn,7
